factual_id,name,address,locality,region,post_code,country,latitude,longitude,category_labels,telephone,website
a32b8152-6eb8-463f-8ba7-9ba588639903,7-Eleven,317 W County Line Rd,Hatboro,PA,19040,us,40.199021,-75.119031,"Retail, Convenience Stores",(215) 674-5299,
6f4f4aea-c963-449b-80ea-caa4af054360,7-Eleven,28200 Hwy 27,Dundee,FL,33838,us,28.018299,-81.633198,"Retail, Convenience Stores",(863) 439-4945,
012a17e3-6a23-4161-88d7-064a4ad6ab39,7-Eleven,5570 N Orange Blossom Trl,Orlando,FL,32810,us,28.608341,-81.426786,"Retail, Convenience Stores",(407) 298-8460,
07219974-e033-4922-a6d5-dd5a71838d93,7-Eleven,7320 State Road 54,New Port Richey,FL,34653,us,28.216364,-82.693217,"Retail, Convenience Stores",(727) 372-5021,
098ab94a-63fe-4689-9e13-9b3d1bbfbbff,7-Eleven,20073 US Highway 19 N,Clearwater,FL,33764,us,27.954844,-82.729155,"Retail, Convenience Stores",(727) 791-6321,
152c8db7-9680-4101-b52a-00074043caf3,7-Eleven,84 W Pacific Ave,Henderson,NV,89015,us,36.031984,-114.986957,"Retail, Convenience Stores",(702) 564-2823,
210fc41b-1037-4eee-9212-ef0931d47950,7-Eleven,6770 N Atlantic Ave,Cape Canaveral,FL,32920,us,28.378653,-80.605066,"Retail, Convenience Stores",(321) 784-6050,
39c976bc-23d9-4319-a828-c97508e335ba,7-Eleven,826 Boston Rd,Billerica,MA,1821,us,42.531536,-71.228972,"Retail, Convenience Stores",(978) 667-8756,
35ecebfe-43a6-4f1e-9c5a-148627fe7340,7-Eleven,2311 Bedford Ave,Lynchburg,VA,24503,us,37.434676,-79.168061,"Retail, Convenience Stores",(434) 845-8657,
02a8c6d4-b92a-4482-bf82-72ff0bac0134,7-Eleven,13190 Parcher Ave,Herndon,VA,20170,us,38.960335,-77.402777,"Retail, Convenience Stores",(703) 689-3602,
15328b99-0339-481c-a9cf-5f51a2779179,7-Eleven,301 W Main St,Saint Albans,WV,25177,us,38.389528,-81.846583,"Retail, Convenience Stores",(304) 727-1280,
18c5a742-6d03-4b99-b1ee-9be9a9834072,7-Eleven,220 Wyckoff Ave,Waldwick,NJ,7463,us,41.011779,-74.139018,"Retail, Convenience Stores",(201) 444-6494,
1f3eacc2-6d36-4e41-893c-6a396e65880e,7-Eleven,6305 University Blvd,Winter Park,FL,32792,us,28.598177,-81.298517,"Retail, Convenience Stores",(407) 678-7118,
411e30cd-17d4-44d5-9145-19738ff26560,7-Eleven,8002 Belair Rd,Baltimore,MD,21236,us,39.375393,-76.50814,"Retail, Convenience Stores",(410) 661-2555,
1740ff3a-db10-4d1f-ba90-63ef9a6d6d03,7-Eleven,2256 Red Tide Rd,Virginia Beach,VA,23451,us,36.910554,-76.073122,"Retail, Convenience Stores",(757) 496-0947,
1d3c86b8-b3b6-4866-a685-4fbc1760a09c,7-Eleven,2396 Pleasant Hill Rd,Pleasant Hill,CA,94523,us,37.947512,-122.082025,"Retail, Convenience Stores",(925) 934-1550,
959dfe83-fb0e-4878-8d5c-f302a7607579,7-Eleven,2424 W Greenway Rd,Phoenix,AZ,85023,us,33.625704,-112.112694,"Retail, Convenience Stores",(602) 993-1980,
3d82b7e0-ee83-452d-ae9a-de22ca87f68d,7-Eleven,1022 Crosby Blvd SW,Tumwater,WA,98512,us,47.023804,-122.922204,"Retail, Convenience Stores",(360) 570-0079,
6ec5d22b-2933-4983-816a-32d3cad88c7d,7-Eleven,1200 South Ave W,Westfield,NJ,7090,us,40.646657,-74.364542,"Retail, Convenience Stores",(908) 232-1336,
0ab7ed95-3e80-4349-b5df-be16df2b3363,7-Eleven,8316 Meadowbridge Rd,Mechanicsville,VA,23116,us,37.624113,-77.390346,"Retail, Convenience Stores",(804) 730-5596,
1226859e-3378-4ba8-a963-5226913877e1,7-Eleven,2525 Lee Hwy,Arlington,VA,22201,us,38.89717,-77.107341,"Retail, Convenience Stores",(703) 243-4733,
03f614cd-542d-4d2b-9a59-495a76525367,7-Eleven,2300 S Broad St,Philadelphia,PA,19145,us,39.921817,-75.170533,"Retail, Convenience Stores",(215) 389-1157,
