rank,name,is_client,website
1,7 Eleven Inc.,No,
2,McDonald's,Yes,http://corporate.mcdonalds.com/content/mcd/franchising.html
3,Dunkin' Donuts,No,
4,The UPS Store,Yes,https://www.theupsstorefranchise.com/
5,Jimmy John's Gourmet Sandwiches,No,
6,Dairy Queen,No,
7,Ace Hardware Corp.,No,
8,Wingstop Restaurants Inc.,No,
9,Sport Clips,No,
10,RE/MAX LLC,No,
11,Kumon Math & Reading Centers,No,
12,Taco Bell,No,
13,Supercuts,Yes,http://www.supercutsfranchise.com/
14,Anytime Fitness,No,
15,Firehouse Subs,No,
16,Hardee's,No,
17,Massage Envy,No,
18,Krispy Kreme Doughnut Corp.,No,
19,Orangetheory Fitness,Yes,http://marketing.orangetheoryfitness.com/franchisees-2/
20,Culver Franchising System Inc.,No,
21,Jersey Mike's Subs,No,
22,Miracle-Ear Inc.,No,
23,McAlister's Deli,No,
24,Pearl Vision,No,
25,Phenix Salon Suites Franchising LLC,No,
26,Mosquito Joe,Yes,http://mosquitojoefranchise.com/
27,Great Clips,No,
28,Hampton Inns,No,
29,Carl's Jr.,No,
30,One Hour Heating & Air Conditioning,No,
31,Express Employment Professionals,No,
32,Planet Fitness,No,
33,Merry Maids,No,
34,Snap-on Tools,Yes,https://www1.snapon.com/franchise
35,Subway,No,
36,The Maids,No,
37,Jan-Pro,No,
38,Marco's Pizza,No,
39,Sonic,No,
40,InterContinental Hotels Group,No,
41,Freddy's Frozen Custard & Steakburgers,No,
42,Edible Arrangements,No,
43,Matco Tools,No,
44,Mathnasium Learning Centers,No,
45,Goldfish Swim School,No,
46,Blaze Fast-Fire'd Pizza,No,
47,Spherion Staffing,No,
48,Servpro,No,
49,Pet Supplies Plus,No,
50,Moe's Southwest Grill,No,
